20 30
##############################
#                            #
#                            #
#                            #
#                            #
#            *               #
#                            #
#                            #
#                            #
# >          *               #
#                            #
#                            #
#                            #
#                            #
#                            #
#                            #
#                            #
#                            #
#                            #
##############################
